220000000000396|WRGVLD|无线燃气阀井气体泄漏检测仪|396
220000000000395|WFHB|无线消火栓按钮|395
220000000000394|WMD|细水雾探测器|394
220000000000393|PPD|热解粒子探测器|393
220000000000392|ICBCM|智能断路器通讯模组|392
220000000000391|WSMDA|无线智能门磁报警器|391
220000000000390|ICCGD|工商业用可燃气体探测器|390
220000000000389|CCS|充电柜屏幕|389
220000000000388|CCOM|充电仓|388
220000000000387|CCAB|充电柜|387
220000000000386|WSC|水系统控制器|386
220000000000383|EQC|环境质量控制器|383
220000000000379|SSUED|智慧安全用电设备|379
220000000000378|IEUT|智能用电终端|378
220000000000376|NCFD|常闭防火门|376
220000000000375|NOFD|常开防火门|375
220000000000371|WPM|无线压力监测|371
220000000000367|IPCAM|摄像头|367
220000000000366|GFIOTMD|气体灭火物联网实时监测装置|366
220000000000364|HTZ|感温分区|364
220000000000363|HTPOS|感温位置|363
220000000000362|HTCABLE|感温电缆|362
220000000000361|SU|信号单元|361
220000000000352|PHSFD|点型家用感烟火灾探测器|352
220000000000350|EFME|电气火灾监控设备|350
220000000000349|NGC|无网关控制器|349
220000000000344|BFTM|总线消防电话主机|344
220000000000337|WTM|无线传输模块|337
220000000000312|AVTEDV|报警阀组试验排放阀|312
220000000000308|RMS|远程监控系统|308
220000000000296|MPPEFMD|测量热解粒子式电气火灾监控探测器|296
220000000000294|DNCFDMM|双常闭防火门模块|294
220000000000293|SNCFDMM|单常闭防火门模块|293
220000000000292|DNOFDMM|双常开防火门模块|292
220000000000291|SNOFDMM|单常开防火门模块|291
220000000000286|SA|声报警器|286
220000000000281|PAP|管道气压|281
220000000000280|INFEQ|充气设备|280
220000000000271|WTAV|水箱(池)报警阀|271
220000000000268|LPD|防漏水检测|268
220000000000267|STKP|稳压罐压力|267
220000000000266|PNP|管网压力|266
220000000000223|FEA2|灭火辅助|223
220000000000222|FEZ|灭火区|222
220000000000219|FEL|消防应急灯具|219
220000000000218|FEDB|消防应急配电箱|218
220000000000215|RPDV|余压风阀|215
220000000000203|ETD|环境温度探测器|203
220000000000201|IORD|IOR式探测器|201
220000000000200|COM|控制输出模块|200
220000000000176|DCL|闭门器|176
220000000000166|OBC|其他板卡|166
220000000000163|MLP|多线盘|163
220000000000162|BPANEL|总线盘|162
220000000000161|LCB|回路板|161
220000000000157|SW|开关|157
220000000000153|IFACE|接口|153
220000000000152|CMM|电流监控模块|152
220000000000149|TRR|脱扣继电器|149
220000000000148|OCD|过电流探测器|148
220000000000145|EL|应急照明|145
220000000000137|BBCAST|总线广播|137
220000000000136|EBCAST|紧急广播|136
220000000000121|ALDEV|警报装置|121
220000000000117|FDC|防火门控制器|117
220000000000111|SMEFAN|防烟排烟风机|111
220000000000104|HVAC|通风空调|104
220000000000102|FDOOR|防火门|102
220000000000101|VDA|阀驱动装置|101
220000000000089|SCIM|短路隔离模块|89
220000000000088|RELAYM|中继模块|88
220000000000086|OM|输出模块|86
220000000000084|MOD|模块|84
220000000000074|GD|气体探测器|74
220000000000052|CPTHFD|复合式感光感温火灾探浏器|52
220000000000050|CFD|复合式火灾探测器|50
220000000000041|PLISFD|点型离子感烟火灾探测器|41
220000000000040|SFD|感烟火灾探测器|40
220000000000036|LTFDR|线型感温火灾探测器(R型)|36
220000000000035|LTFDS|线型感温火灾探测器(S型)|35
220000000000033|PTTFDR|点型感温火灾探测器(R型)|33
220000000000032|PTTFDS|点型感温火灾探测器(S型)|32
220000000000030|TFD|感温火灾探测器|30
220000000000025|FDET|火灾探测器|25
220000000000013|LCGD|线型可燃气体探测器|13
220000000000012|DICGD|独立式可燃气体探测器|12
220000000000011|PCGD|点型可燃气体探测器|11
220000000000000|GENERAL|通用|0
